sample,ss_275_700_SEM,ss_275_295_SEM,ss_350_400_SEM,ss_275_700_HM,ss_275_295_HM,ss_350_400_HM,abs_254_SEM,abs_280_SEM,abs_320_SEM,abs_412_SEM,abs_440_SEM,abs_254_HM,abs_280_HM,abs_320_HM,abs_412_HM,abs_440_HM,SR_SEM,SR_HM
211211,0.020200492969746117,0.004840380220139723,0.0246828589038023,6.293597378257566,0.3745187105651323,8.178798364988499,1.948355199427899,1.0693393000339932,0.4287272370455605,-0.006132547096020333,-0.040832006594190395,2.208866135336257,1.0900116770398978,0.413961895417721,0.005359933758493515,-0.030091715204938224,0.1961029003570604,0.04579141016220162
211212,0.020187968994880602,0.005154876012599125,0.024919714499381917,6.287993838724361,0.46394284578104666,8.266420666117256,1.901770602784659,1.0448251318486474,0.42004221161622796,-0.004365628166822469,-0.0382617039658993,2.1552609793474873,1.0649360846062428,0.40569651804668133,0.006874381717268424,-0.02776542598140533,0.20685935277175752,0.05612378858030715
211213,0.020335821835899923,0.0028079103997582645,0.024862188014774307,6.334652777860808,0.010362852632942867,8.243831569689087,1.6461254097092315,0.8964411836513995,0.35249217324161747,-0.014005683557098345,-0.04296582907240337,1.868129543414899,0.9139226393307223,0.34009713620415916,-0.004306808936336143,-0.03395719708332782,0.1129389898463349,0.0012570432262402104
211214,0.019927087726109592,0.005062326299766451,0.023816231338604305,6.209957188026607,0.4372624689082508,7.8590912097386,1.9492235266890998,1.082581911464554,0.4453235049840148,0.00615754147080827,-0.029583208487519295,2.2067515170790624,1.1035074187862974,0.43039051174721654,0.017723555384006023,-0.018651105746945257,0.2125578236033005,0.05563779032955065
211215,0.01977614980094651,0.00494246032227334,0.02399419879284358,6.162559310109632,0.402841054087831,7.923299763733377,1.9647329950205974,1.0993274892470208,0.45983225539360406,0.015428259086523871,-0.021133915389524284,2.221862833938272,1.1204495299465278,0.44474344132330224,0.02712679647277816,-0.010014794556086934,0.2059856369843639,0.05084258656118502
211216,0.019896190880247782,0.005197957467687782,0.023098383492163626,6.199178343716425,0.47566258829613206,7.592063293051207,2.071087994522492,1.1573912860571058,0.48485390207936374,0.020582743822812444,-0.017285321252190004,2.3419733191621317,1.1793198678424563,0.46906809172095754,0.03283396904624673,-0.005696332747677113,0.2250355514900532,0.06265261101438552
211217,0.019973413531337726,0.005280327192076328,0.02262338103697111,6.221962798985801,0.49882853362054064,7.417608123438106,1.9627161189817561,1.0945721625272702,0.4571743008296605,0.01903594368523298,-0.016502370394672013,2.2197002549599656,1.1152428875497422,0.44232371979557944,0.03062136965539229,-0.005586108462069972,0.23340132862754784,0.06724924333011685
211218,0.019644561837746304,0.0042996688296865985,0.016972305568145808,6.12798257972035,0.22075091765194066,-0.001290975623923182,1.910316705951745,1.0765621540855825,0.45780038513146504,0.02465824971262543,-0.01131620742554506,2.160350447383091,1.097559861787638,0.44292663791290005,0.035939067819090315,-0.0004938643928538572,0.2533343989373112,-170.99541893834873
211219,,1.4070630167486812e-05,,,0.004037622174716281,,1.9470644058162077,1.4703714474629506,0.972587356934911,0.33758934565517285,0.23000093627988433,2.127374830621235,1.5103194462324212,0.9531963571160109,0.33656872431364604,0.2368204998231943,4.280423820074784,2.735475880463039
211220,0.0198025168423364,0.005241869447113837,0.022012606291637555,6.160990740895149,0.48803990504819955,7.190335634899795,1.995059338255186,1.131607145685673,0.49410479213038483,0.05173199715554201,0.015405920934830918,2.248252998760203,1.1520269179938731,0.4793807043552351,0.06354391525267855,0.026549679758182974,0.2381303412084006,0.06787442615048399
