sample,ss_275_700_SEM,ss_275_295_SEM,ss_350_400_SEM,ss_275_700_HM,ss_275_295_HM,ss_350_400_HM,abs_254_SEM,abs_280_SEM,abs_320_SEM,abs_412_SEM,abs_440_SEM,abs_254_HM,abs_280_HM,abs_320_HM,abs_412_HM,abs_440_HM,SR_SEM,SR_HM
222601,0.03393404349739338,0.010068051270485101,0.010055156225525812,10.196137170157128,1.8656035146505539,2.73336380585253,2.808497649838325,1.060156757478576,0.24153237882689904,-0.029626881631995672,-0.037294266460302164,3.217964924451673,1.0689985553331318,0.23997373404537561,-0.023973878752057948,-0.03458421221736503,1.0012824310900863,0.6825302620368445
222602,0.03697660924368292,0.018066816497935363,0.02812083043799218,11.081768212887434,4.132871800702904,-0.0012996154625731793,2.6583640872741956,0.9433030462061516,0.21410351975178618,0.006094519462822441,0.0014719695942943113,3.060886419868291,0.9499499493830929,0.21366197395097106,0.009785129106304368,0.0029575514321979,0.6424709447245374,-3180.0728136305843
222603,0.02285807310158352,0.021325318168147447,0.02260378042009271,7.0204156648713525,5.06023058913146,7.395829328281371,2.2499793943319633,1.236006076721758,0.5582988109213627,0.16035395502138772,0.13419111266228329,2.5246936059371805,1.2544846832649341,0.5489302679323249,0.1717932196587345,0.14330648571895757,0.9434403348384668,0.6842005628471347
222604,0.02104247549086211,0.013773780497204,0.02871974553503509,6.543705485230267,2.91220477264602,-0.0011956967839863281,2.4835003189783036,1.4465324161805362,0.711282088636034,0.23475714360124716,0.19898175537631616,2.7939370600550317,1.472490820473727,0.6968445901371306,0.24753830152475878,0.21036110624448492,0.47959270671118676,-2435.571301728381
222605,0.024115507888553295,0.01214991252171026,0.03212368498636619,7.453382890178128,2.449785495003852,10.89585129864353,2.4675423284017732,1.2846286081875737,0.5256056965325229,0.10900484243051926,0.08404533856525949,2.806278958691111,1.3065503257198678,0.5141359084925475,0.12014668259182282,0.09277454572668736,0.3782228759517123,0.2248365389594511
222606,0.0235561936336681,0.018608619839679923,0.026317383808899614,7.221409416617786,4.288994719195257,8.772563647185558,2.229892584878264,1.1823755215986265,0.4979334112983626,0.11085008269681916,0.08667827555707713,2.5095058103841414,1.1999607141750432,0.4892553188450017,0.1219450717183129,0.09525445252973433,0.7070847153654818,0.4889100714101135
222607,0.03504831970128947,0.01966216268321757,0.030077617597762417,10.51424571745527,4.586556853611713,-0.0013291003285039295,2.478949766042808,0.9302678419896958,0.23034302532940282,0.010926321661845402,0.005243611134886169,2.839735680483866,0.9373171080544823,0.2295257882300901,0.015246641719080906,0.007177264318106128,0.6537140988414025,-3450.8733127577075
222608,0.02530797230523639,0.014740932669475936,0.0298151068766921,7.762004607014039,3.188590671370246,-0.0009294429356635987,2.467694699446506,1.2216413808708828,0.4523689415786945,0.056072989300106,0.034348049038628994,2.80291734423148,1.240144869899431,0.4432846739754607,0.06687628901379382,0.042250563360969794,0.494411532061273,-3430.647056447498
222609,0.01901271565130862,0.015860441282965206,0.028075386034774236,5.946522897436078,3.5063513588620934,9.406753454727681,2.508196616516724,1.504575415612054,0.7441974355970101,0.19289485106144497,0.14498431523205413,2.8239365199037048,1.5363067651846538,0.7262931917475464,0.20682975958215938,0.1587143752209057,0.5649233554017896,0.3727483000099102
222610,0.027703645980701193,0.0014514689272210985,0.024884373682176254,8.419760140618408,0.006760959678870846,8.245490465945482,2.9005418981076914,1.3874741535378299,0.5228014083903217,0.12991062927181823,0.11192971043749328,3.2764799151320285,1.4020912180308163,0.5159932856483415,0.14037850000245286,0.11878625062505757,0.058328529612972795,0.0008199584617548389
